codepoint,character,name
1FB64,🭤,UPPER RIGHT BLOCK DIAGONAL UPPER CENTRE TO LOWER MIDDLE RIGHT
1FB65,🭥,UPPER RIGHT BLOCK DIAGONAL UPPER LEFT TO LOWER MIDDLE RIGHT
1FB66,🭦,UPPER RIGHT BLOCK DIAGONAL UPPER CENTRE TO LOWER RIGHT
1FB67,🭧,UPPER RIGHT BLOCK DIAGONAL UPPER MIDDLE LEFT TO LOWER MIDDLE RIGHT
1FB68,🭨,UPPER AND RIGHT AND LOWER TRIANGULAR THREE QUARTERS BLOCK
1FB69,🭩,LEFT AND LOWER AND RIGHT TRIANGULAR THREE QUARTERS BLOCK
1FB6A,🭪,UPPER AND LEFT AND LOWER TRIANGULAR THREE QUARTERS BLOCK
1FB6B,🭫,LEFT AND UPPER AND RIGHT TRIANGULAR THREE QUARTERS BLOCK
1FB6C,🭬,LEFT TRIANGULAR ONE QUARTER BLOCK
1FB6D,🭭,UPPER TRIANGULAR ONE QUARTER BLOCK
1FB6E,🭮,RIGHT TRIANGULAR ONE QUARTER BLOCK
1FB6F,🭯,LOWER TRIANGULAR ONE QUARTER BLOCK
1FB70,🭰,VERTICAL ONE EIGHTH BLOCK-2
1FB71,🭱,VERTICAL ONE EIGHTH BLOCK-3
1FB72,🭲,VERTICAL ONE EIGHTH BLOCK-4
1FB73,🭳,VERTICAL ONE EIGHTH BLOCK-5
1FB74,🭴,VERTICAL ONE EIGHTH BLOCK-6
1FB75,🭵,VERTICAL ONE EIGHTH BLOCK-7
1FB76,🭶,HORIZONTAL ONE EIGHTH BLOCK-2
1FB77,🭷,HORIZONTAL ONE EIGHTH BLOCK-3
1FB78,🭸,HORIZONTAL ONE EIGHTH BLOCK-4
1FB79,🭹,HORIZONTAL ONE EIGHTH BLOCK-5
1FB7A,🭺,HORIZONTAL ONE EIGHTH BLOCK-6
1FB7B,🭻,HORIZONTAL ONE EIGHTH BLOCK-7
1FB7C,🭼,LEFT AND LOWER ONE EIGHTH BLOCK
1FB7D,🭽,LEFT AND UPPER ONE EIGHTH BLOCK
1FB7E,🭾,RIGHT AND UPPER ONE EIGHTH BLOCK
1FB7F,🭿,RIGHT AND LOWER ONE EIGHTH BLOCK
1FB80,🮀,UPPER AND LOWER ONE EIGHTH BLOCK
1FB81,🮁,HORIZONTAL ONE EIGHTH BLOCK-1358
1FB82,🮂,UPPER ONE QUARTER BLOCK
1FB83,🮃,UPPER THREE EIGHTHS BLOCK
1FB84,🮄,UPPER FIVE EIGHTHS BLOCK
