codepoint,character,name
1FB49,🭉,LOWER RIGHT BLOCK DIAGONAL LOWER CENTRE TO UPPER MIDDLE RIGHT
1FB4A,🭊,LOWER RIGHT BLOCK DIAGONAL LOWER LEFT TO UPPER MIDDLE RIGHT
1FB4B,🭋,LOWER RIGHT BLOCK DIAGONAL LOWER CENTRE TO UPPER RIGHT
1FB4C,🭌,LOWER LEFT BLOCK DIAGONAL UPPER CENTRE TO UPPER MIDDLE RIGHT
1FB4D,🭍,LOWER LEFT BLOCK DIAGONAL UPPER LEFT TO UPPER MIDDLE RIGHT
1FB4E,🭎,LOWER LEFT BLOCK DIAGONAL UPPER CENTRE TO LOWER MIDDLE RIGHT
1FB4F,🭏,LOWER LEFT BLOCK DIAGONAL UPPER LEFT TO LOWER MIDDLE RIGHT
1FB50,🭐,LOWER LEFT BLOCK DIAGONAL UPPER CENTRE TO LOWER RIGHT
1FB51,🭑,LOWER LEFT BLOCK DIAGONAL UPPER MIDDLE LEFT TO LOWER MIDDLE RIGHT
1FB52,🭒,UPPER RIGHT BLOCK DIAGONAL LOWER MIDDLE LEFT TO LOWER CENTRE
1FB53,🭓,UPPER RIGHT BLOCK DIAGONAL LOWER MIDDLE LEFT TO LOWER RIGHT
1FB54,🭔,UPPER RIGHT BLOCK DIAGONAL UPPER MIDDLE LEFT TO LOWER CENTRE
1FB55,🭕,UPPER RIGHT BLOCK DIAGONAL UPPER MIDDLE LEFT TO LOWER RIGHT
1FB56,🭖,UPPER RIGHT BLOCK DIAGONAL UPPER LEFT TO LOWER CENTRE
1FB57,🭗,UPPER LEFT BLOCK DIAGONAL UPPER MIDDLE LEFT TO UPPER CENTRE
1FB58,🭘,UPPER LEFT BLOCK DIAGONAL UPPER MIDDLE LEFT TO UPPER RIGHT
1FB59,🭙,UPPER LEFT BLOCK DIAGONAL LOWER MIDDLE LEFT TO UPPER CENTRE
1FB5A,🭚,UPPER LEFT BLOCK DIAGONAL LOWER MIDDLE LEFT TO UPPER RIGHT
1FB5B,🭛,UPPER LEFT BLOCK DIAGONAL LOWER LEFT TO UPPER CENTRE
1FB5C,🭜,UPPER LEFT BLOCK DIAGONAL LOWER MIDDLE LEFT TO UPPER MIDDLE RIGHT
1FB5D,🭝,UPPER LEFT BLOCK DIAGONAL LOWER CENTRE TO LOWER MIDDLE RIGHT
1FB5E,🭞,UPPER LEFT BLOCK DIAGONAL LOWER LEFT TO LOWER MIDDLE RIGHT
1FB5F,🭟,UPPER LEFT BLOCK DIAGONAL LOWER CENTRE TO UPPER MIDDLE RIGHT
1FB60,🭠,UPPER LEFT BLOCK DIAGONAL LOWER LEFT TO UPPER MIDDLE RIGHT
1FB61,🭡,UPPER LEFT BLOCK DIAGONAL LOWER CENTRE TO UPPER RIGHT
1FB62,🭢,UPPER RIGHT BLOCK DIAGONAL UPPER CENTRE TO UPPER MIDDLE RIGHT
1FB63,🭣,UPPER RIGHT BLOCK DIAGONAL UPPER LEFT TO UPPER MIDDLE RIGHT
1FB64,🭤,UPPER RIGHT BLOCK DIAGONAL UPPER CENTRE TO LOWER MIDDLE RIGHT
1FB65,🭥,UPPER RIGHT BLOCK DIAGONAL UPPER LEFT TO LOWER MIDDLE RIGHT
1FB66,🭦,UPPER RIGHT BLOCK DIAGONAL UPPER CENTRE TO LOWER RIGHT
1FB67,🭧,UPPER RIGHT BLOCK DIAGONAL UPPER MIDDLE LEFT TO LOWER MIDDLE RIGHT
1FB68,🭨,UPPER AND RIGHT AND LOWER TRIANGULAR THREE QUARTERS BLOCK
1FB69,🭩,LEFT AND LOWER AND RIGHT TRIANGULAR THREE QUARTERS BLOCK
1FB6A,🭪,UPPER AND LEFT AND LOWER TRIANGULAR THREE QUARTERS BLOCK
1FB6B,🭫,LEFT AND UPPER AND RIGHT TRIANGULAR THREE QUARTERS BLOCK
1FB6C,🭬,LEFT TRIANGULAR ONE QUARTER BLOCK
1FB6D,🭭,UPPER TRIANGULAR ONE QUARTER BLOCK
1FB6E,🭮,RIGHT TRIANGULAR ONE QUARTER BLOCK
1FB6F,🭯,LOWER TRIANGULAR ONE QUARTER BLOCK
1FB70,🭰,VERTICAL ONE EIGHTH BLOCK-2
1FB71,🭱,VERTICAL ONE EIGHTH BLOCK-3
1FB72,🭲,VERTICAL ONE EIGHTH BLOCK-4
1FB73,🭳,VERTICAL ONE EIGHTH BLOCK-5
1FB74,🭴,VERTICAL ONE EIGHTH BLOCK-6
1FB75,🭵,VERTICAL ONE EIGHTH BLOCK-7
1FB76,🭶,HORIZONTAL ONE EIGHTH BLOCK-2
1FB77,🭷,HORIZONTAL ONE EIGHTH BLOCK-3
1FB78,🭸,HORIZONTAL ONE EIGHTH BLOCK-4
1FB79,🭹,HORIZONTAL ONE EIGHTH BLOCK-5
1FB7A,🭺,HORIZONTAL ONE EIGHTH BLOCK-6
1FB7B,🭻,HORIZONTAL ONE EIGHTH BLOCK-7
1FB7C,🭼,LEFT AND LOWER ONE EIGHTH BLOCK
1FB7D,🭽,LEFT AND UPPER ONE EIGHTH BLOCK
1FB7E,🭾,RIGHT AND UPPER ONE EIGHTH BLOCK
1FB7F,🭿,RIGHT AND LOWER ONE EIGHTH BLOCK
1FB80,🮀,UPPER AND LOWER ONE EIGHTH BLOCK
1FB81,🮁,HORIZONTAL ONE EIGHTH BLOCK-1358
1FB82,🮂,UPPER ONE QUARTER BLOCK
1FB83,🮃,UPPER THREE EIGHTHS BLOCK
1FB84,🮄,UPPER FIVE EIGHTHS BLOCK
1FB85,🮅,UPPER THREE QUARTERS BLOCK
1FB86,🮆,UPPER SEVEN EIGHTHS BLOCK
1FB87,🮇,RIGHT ONE QUARTER BLOCK
1FB88,🮈,RIGHT THREE EIGHTHS BLOCK
1FB89,🮉,RIGHT FIVE EIGHTHS BLOCK
1FB8A,🮊,RIGHT THREE QUARTERS BLOCK
1FB8B,🮋,RIGHT SEVEN EIGHTHS BLOCK
1FB8C,🮌,LEFT HALF MEDIUM SHADE
1FB8D,🮍,RIGHT HALF MEDIUM SHADE
1FB8E,🮎,UPPER HALF MEDIUM SHADE
1FB8F,🮏,LOWER HALF MEDIUM SHADE
1FB90,🮐,INVERSE MEDIUM SHADE
1FB91,🮑,UPPER HALF BLOCK AND LOWER HALF INVERSE MEDIUM SHADE
1FB92,🮒,UPPER HALF INVERSE MEDIUM SHADE AND LOWER HALF BLOCK
1FB94,🮔,LEFT HALF INVERSE MEDIUM SHADE AND RIGHT HALF BLOCK
1FB95,🮕,CHECKER BOARD FILL
1FB96,🮖,INVERSE CHECKER BOARD FILL
1FB97,🮗,HEAVY HORIZONTAL FILL
1FB98,🮘,UPPER LEFT TO LOWER RIGHT FILL
1FB99,🮙,UPPER RIGHT TO LOWER LEFT FILL
1FB9A,🮚,UPPER AND LOWER TRIANGULAR HALF BLOCK
1FB9B,🮛,LEFT AND RIGHT TRIANGULAR HALF BLOCK
1FB9C,🮜,UPPER LEFT TRIANGULAR MEDIUM SHADE
1FB9D,🮝,UPPER RIGHT TRIANGULAR MEDIUM SHADE
1FB9E,🮞,LOWER RIGHT TRIANGULAR MEDIUM SHADE
1FB9F,🮟,LOWER LEFT TRIANGULAR MEDIUM SHADE
1FBA0,🮠,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT
1FBA1,🮡,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT
1FBA2,🮢,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO LOWER CENTRE
1FBA3,🮣,BOX DRAWINGS LIGHT DIAGONAL MIDDLE RIGHT TO LOWER CENTRE
1FBA4,🮤,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT TO LOWER CENTRE
1FBA5,🮥,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT TO LOWER CENTRE
1FBA6,🮦,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO LOWER CENTRE TO MIDDLE RIGHT
1FBA7,🮧,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO UPPER CENTRE TO MIDDLE RIGHT
1FBA8,🮨,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT AND MIDDLE RIGHT TO LOWER CENTRE
1FBA9,🮩,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT AND MIDDLE LEFT TO LOWER CENTRE
1FBAA,🮪,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT TO LOWER CENTRE TO MIDDLE LEFT
1FBAB,🮫,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT TO LOWER CENTRE TO MIDDLE RIGHT
